race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4554,3,2016,Alpha Energy Solutions 250,1,0,22,Martinsville Speedway,2016-04-02T14:30:00,2016-04-02T14:30:00,2016-04-02T00:00:00,,131.5,134.13,250,255,,,,32,4107,96.322,8,4,11,68,61.811,02:10:12,,0,0,MRN,FS1,2913,,,,,,,,
4571,3,2016,Texas Roadhouse 200 presented by Alpha Energy Solutions,1,0,22,Martinsville Speedway,2016-10-29T13:30:00,2016-10-29T13:30:00,2016-10-29T00:00:00,,105.2,105.2,200,200,,,,32,4062,96.254,6,5,5,33,73.839,01:25:29,,0,0,MRN,FS1,3112,,,,,,,,
4567,3,2016,American Ethanol E15 225,1,0,39,Chicagoland Speedway,2016-09-16T20:30:00,2016-09-16T20:30:00,2016-09-16T00:00:00,,225.0,226.5,150,151,,,,32,4063,176.148,10,5,10,41,108.648,02:05:05,,0,0,MRN,FS1,3714,,,,,,,,
4574,3,2016,Ford EcoBoost 200,1,0,40,Homestead-Miami Speedway,2016-11-18T20:00:00,2016-11-18T20:00:00,2016-11-18T00:00:00,,201.0,201.0,134,134,,,,32,4184,170.886,15,5,4,18,129.747,01:32:57,,0,0,MRN,FS1,2918,,,,,,,,
4555,3,2016,Toyota Tundra 250,1,0,41,Kansas Speedway,2016-05-06T20:30:00,2016-05-06T20:30:00,2016-05-06T00:00:00,,250.5,255.0,167,170,,,,32,3855,177.253,19,9,11,47,108.511,02:21:00,,0,0,MRN,FS1,3055,,,,,,,,
4569,3,2016,DC Solar 350,1,0,42,Las Vegas Motor Speedway,2016-10-01T20:30:00,2016-10-01T20:30:00,2016-10-01T00:00:00,,219.0,219.0,146,146,,,,31,2550,175.953,12,5,3,14,143.163,01:31:47,,0,0,MRN,FS1,2941,,,,,,,,
4558,3,2016,Rattlesnake 400,1,0,43,Texas Motor Speedway,2016-06-10T21:00:00,2016-06-10T21:00:00,2016-06-10T00:00:00,,250.5,250.5,167,167,,,,32,2911,180.024,11,4,4,22,134.919,01:51:24,,0,0,MRN,FS1,4095,,,,,,,,
4572,3,2016,Striping Technology 350,1,0,43,Texas Motor Speedway,2016-11-04T20:30:00,2016-11-04T20:30:00,2016-11-04T00:00:00,,220.5,220.5,147,147,,,,32,4063,180.307,7,4,3,12,148.291,01:29:13,,0,0,MRN,FS1,3018,,,,,,,,
4559,3,2016,Drivin For Linemen 200 Brought To You By Altec,1,0,45,Gateway Motorsports Park,2016-06-25T20:30:00,2016-06-25T20:30:00,2016-06-25T00:00:00,,200.0,200.0,100,160,,,,32,0,0.0,8,6,9,44,89.021,02:14:48,,0,0,MRN,FS1,4376,,,,,,,,
4561,3,2016,Buckle Up in Your Truck 225,1,0,61,Kentucky Speedway,2016-07-07T20:30:00,2016-07-07T20:30:00,2016-07-07T00:00:00,,225.0,225.0,150,150,,,,32,4113,182.983,9,6,5,32,116.698,01:55:41,,0,0,MRN,FS1,3994,,,,,,,,
