vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
42,John Hunter Nemechek,Tyt,51,50,2,2,2755.184,2789.451,34.267,2769.856,2780.956,11.1,14.672,8.495,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,16,1,5545
5,Kyle Larson,Chv,51,50,2,2,2756.125,2790.631,34.506,2773.156,2785.136,11.98,17.031,5.495,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,19,17,2,5545
6,Norm Benning,Chv,6,5,2,2,406.96,479.325,72.365,423.62,466.36,42.74,16.66,12.965,OTHER,False,False,False,False,0,0,23,34,-11,5485
7,Justin Haley(i),Chv,6,6,2,2,562.243,592.683,30.44,572.1,576.6,4.5,9.857,16.083,OTHER,False,False,False,False,0,0,8,12,-4,5485
88,Matt Crafton,Frd,6,6,2,2,564.212,649.503,85.291,583.42,645.66,62.24,19.208,3.843,OTHER,False,False,False,False,0,0,12,34,-22,5485
42,Matt Mills,Chv,6,6,2,2,565.447,600.715,35.268,578.1,588.76,10.66,12.653,11.955,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,15,24,-9,5485
1,William Sawalich(i),Tyt,6,6,2,2,566.279,594.963,28.684,582.78,587.8,5.02,16.501,7.163,OTHER,False,False,False,False,0,0,17,17,0,5485
18,Tyler Ankrum,Chv,6,6,2,2,566.925,627.678,60.753,586.94,622.32,35.38,20.015,5.358,OTHER,False,False,False,False,0,0,19,32,-13,5485
17,Giovanni Ruggiero #,Tyt,6,6,2,2,567.754,599.106,31.352,574.42,582.44,8.02,6.666,16.666,OTHER,False,False,False,False,0,0,21,21,0,5485
5,Toni Breidinger #,Tyt,6,6,2,2,568.459,599.081,30.622,583.12,589.06,5.94,14.661,10.021,OTHER,False,False,False,False,0,0,22,20,2,5485
56,Timmy Hill,Tyt,6,6,2,2,568.848,601.288,32.44,574.6,582.66,8.06,5.752,18.628,OTHER,False,False,False,False,0,0,23,26,-3,5485
44,Bayley Currey,Chv,7,6,2,2,569.717,600.426,30.709,586.18,592.76,6.58,16.463,7.666,OTHER,False,False,False,False,0,0,25,23,2,5485
52,Stewart Friesen,Tyt,7,6,2,2,570.339,602.105,31.766,580.92,587.9,6.98,10.581,14.205,OTHER,False,False,False,False,0,0,26,27,-1,5485
13,Jake Garcia,Frd,7,6,2,2,570.68,601.046,30.366,590.14,595.8,5.66,19.46,5.246,OTHER,False,False,False,False,0,0,27,25,2,5485
22,Jason White,Frd,7,6,2,2,572.501,608.697,36.196,591.56,599.14,7.58,19.059,9.557,OTHER,False,False,False,False,0,0,29,29,0,5485
76,Spencer Boyd,Chv,7,6,2,2,574.29,615.192,40.902,584.18,598.26,14.08,9.89,16.932,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,30,31,-1,5485
02,Nathan Byrd,Chv,7,6,2,2,575.008,610.683,35.675,590.62,600.84,10.22,15.612,9.843,OTHER,False,False,False,False,0,0,31,30,1,5485
33,Frankie Muniz #,Frd,7,6,2,2,575.766,607.584,31.818,595.8,600.78,4.98,20.034,6.804,OTHER,False,False,False,False,0,0,32,28,4,5485
95,Clay Greenfield,Chv,7,6,2,2,576.2,629.038,52.838,588.0,614.54,26.54,11.8,14.498,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,33,33,0,5485
2,Josh Reaume,Frd,7,7,2,2,733.144,781.16,48.016,752.72,762.54,9.82,19.576,18.62,OTHER,False,False,False,False,0,0,16,34,-18,5485
5,Toni Breidinger #,Tyt,15,14,2,2,1184.197,1335.597,151.4,1207.92,1325.52,117.6,23.723,10.077,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,25,34,-9,5485
75,Parker Kligerman,Chv,16,16,2,2,1361.87,1397.506,35.636,1375.72,1388.18,12.46,13.85,9.326,OTHER,False,False,False,False,0,0,15,31,-16,5485
07,Michael McDowell(i),Chv,16,16,2,2,1362.382,1392.709,30.327,1377.74,1384.0,6.26,15.358,8.709,OTHER,False,False,False,False,0,0,16,24,-8,5485
88,Matt Crafton,Frd,17,16,2,2,1370.16,1534.577,164.417,1397.36,1529.76,132.4,27.2,4.817,OTHER,False,False,False,False,0,0,27,33,-6,5485
33,Frankie Muniz #,Frd,17,16,2,2,1370.774,1401.845,31.071,1390.6,1395.52,4.92,19.826,6.325,OTHER,False,False,False,False,0,0,30,32,-2,5485
5,Toni Breidinger #,Tyt,18,16,2,2,1512.736,1560.256,47.52,1528.6,1549.92,21.32,15.864,10.336,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,34,34,0,5485
99,Ben Rhodes,Frd,21,21,2,2,1878.663,1906.683,28.02,1883.18,1887.88,4.7,4.517,18.803,OTHER,False,False,False,False,0,0,1,7,-6,5485
66,Johnny Sauter,Frd,21,21,2,2,1878.935,1911.604,32.669,1885.9,1894.64,8.74,6.965,16.964,OTHER,False,False,False,False,0,0,2,19,-17,5485
9,Grant Enfinger,Chv,21,21,2,2,1879.307,1905.641,26.334,1893.04,1895.6,2.56,13.733,10.041,OTHER,False,False,False,False,0,0,3,4,-1,5485
38,Chandler Smith,Frd,21,21,2,2,1879.618,1907.017,27.399,1888.32,1892.62,4.3,8.702,14.397,OTHER,False,False,False,False,0,0,4,9,-5,5485
11,Corey Heim,Tyt,21,21,2,2,1879.903,1911.408,31.505,1891.7,1899.96,8.26,11.797,11.448,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,5,18,-13,5485
15,Tanner Gray,Tyt,21,21,2,2,1880.286,1914.859,34.573,1893.48,1904.0,10.52,13.194,10.859,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,6,25,-19,5485
98,Ty Majeski,Frd,21,21,2,2,1880.77,1913.547,32.777,1893.38,1896.84,3.46,12.61,16.707,OTHER,False,False,False,False,0,0,7,22,-15,5485
77,Andres Perez de Lara #,Chv,21,21,2,2,1881.565,1912.663,31.098,1898.86,1906.28,7.42,17.295,6.383,OTHER,False,False,False,False,0,0,9,21,-12,5485
34,Layne Riggs,Frd,21,21,2,2,1881.954,1908.673,26.719,1887.8,1890.84,3.04,5.846,17.833,OTHER,False,False,False,False,0,0,10,12,-2,5485
71,Rajah Caruth,Chv,21,21,2,2,1882.378,1908.974,26.596,1901.42,1903.68,2.26,19.042,5.294,OTHER,False,False,False,False,0,0,11,13,-2,5485
26,Dawson Sutton #,Chv,21,21,2,2,1883.073,1918.238,35.165,1889.8,1901.36,11.56,6.727,16.878,TWO_WHEEL_CHANGE_LEFT,True,True,False,False,0,0,13,27,-14,5485
17,Giovanni Ruggiero #,Tyt,21,21,2,2,1886.982,1960.888,73.906,1895.42,1943.96,48.54,8.438,16.928,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,18,32,-14,5485
6,Norm Benning,Chv,22,21,2,2,1888.278,1944.993,56.715,1903.46,1931.56,28.1,15.182,13.433,OTHER,False,False,False,False,0,0,20,31,-11,5485
56,Timmy Hill,Tyt,22,21,2,2,1888.817,1943.026,54.209,1894.22,1924.54,30.32,5.403,18.486,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,22,30,-8,5485
44,Bayley Currey,Chv,22,21,2,2,1889.393,1935.496,46.103,1908.04,1928.16,20.12,18.647,7.336,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,24,29,-5,5485
95,Clay Greenfield,Chv,22,21,2,2,1891.035,1928.807,37.772,1904.12,1913.1,8.98,13.085,15.707,OTHER,False,False,False,False,0,0,26,28,-2,5485
22,Jason White,Frd,22,22,2,2,2026.749,2085.13,58.381,2045.46,2075.88,30.42,18.711,9.25,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,29,-18,5485
22,Jason White,Frd,22,22,2,2,2026.749,2085.13,58.381,2045.46,2075.88,30.42,18.711,9.25,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,29,-18,5485
22,Jason White,Frd,22,22,2,2,2026.749,2085.13,58.381,2045.46,2075.88,30.42,18.711,9.25,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,29,-18,5485
4,Mason Maggio(i),Chv,23,22,2,2,2028.403,2099.399,70.996,2034.56,2076.3,41.74,6.157,23.099,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,31,-18,5485
5,Toni Breidinger #,Tyt,23,21,2,2,2028.937,2116.683,87.746,2044.94,2106.68,61.74,16.003,10.003,OTHER,False,False,False,False,0,0,34,34,0,5485
02,Nathan Byrd,Chv,23,22,2,2,2029.46,2086.281,56.821,2045.06,2074.96,29.9,15.6,11.321,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,30,-15,5485
02,Nathan Byrd,Chv,23,22,2,2,2029.46,2086.281,56.821,2045.06,2074.96,29.9,15.6,11.321,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,30,-15,5485
76,Spencer Boyd,Chv,23,22,2,2,2030.193,2067.349,37.156,2040.22,2050.1,9.88,10.027,17.249,OTHER,False,False,False,False,0,0,18,25,-7,5485
